DEBUG (9): receive 3 1, time: 0:0:1.776168777
DEBUG (10): receive 3 1, time: 0:0:1.776168777
DEBUG (5): receive 3 1, time: 0:0:1.776168777
DEBUG (12): receive 3 1, time: 0:0:1.776168777
DEBUG (14): receive 3 1, time: 0:0:1.776168777
DEBUG (15): receive 3 1, time: 0:0:1.776168777
DEBUG (6): receive 3 1, time: 0:0:1.776168777
DEBUG (3): receive 3 1, time: 0:0:1.776168777
DEBUG (3): send 1 3, time: 0:0:1.777343760
DEBUG (7): receive 1 3, time: 0:0:1.778961182
DEBUG (5): receive 1 3, time: 0:0:1.778961182
DEBUG (8): receive 1 3, time: 0:0:1.778961182
DEBUG (4): receive 1 3, time: 0:0:1.778961182
DEBUG (1): receive 1 3, time: 0:0:1.778961182
DEBUG (6): receive 1 3, time: 0:0:1.778961182
DEBUG (13): receive 1 3, time: 0:0:1.778961182
DEBUG (10): receive 1 3, time: 0:0:1.778961182
DEBUG (17): receive 1 3, time: 0:0:1.778961182
DEBUG (14): receive 1 3, time: 0:0:1.778961182
DEBUG (16): receive 1 3, time: 0:0:1.778961182
DEBUG (12): receive 1 3, time: 0:0:1.778961182
DEBUG (4): send 3 1, time: 0:0:1.782226572
DEBUG (5): send 3 1, time: 0:0:1.787109385
DEBUG (13): receive 3 1, time: 0:0:1.788391115
DEBUG (8): receive 3 1, time: 0:0:1.788391115
DEBUG (17): receive 3 1, time: 0:0:1.788391115
DEBUG (15): receive 3 1, time: 0:0:1.788391115
DEBUG (1): receive 3 1, time: 0:0:1.788391115
DEBUG (9): receive 3 1, time: 0:0:1.788391115
DEBUG (3): receive 3 1, time: 0:0:1.788391115
DEBUG (2): receive 3 1, time: 0:0:1.788391115
DEBUG (11): receive 3 1, time: 0:0:1.788391115
DEBUG (7): receive 3 1, time: 0:0:1.788391115
DEBUG (16): receive 3 1, time: 0:0:1.788391115
DEBUG (10): receive 3 1, time: 0:0:1.788391115
DEBUG (12): receive 3 1, time: 0:0:1.788391115
DEBUG (14): receive 3 1, time: 0:0:1.788391115
DEBUG (4): receive 3 1, time: 0:0:1.788391115
DEBUG (6): receive 3 1, time: 0:0:1.788391115
DEBUG (7): receive 3 1, time: 0:0:1.789703335
DEBUG (5): receive 3 1, time: 0:0:1.789703335
DEBUG (6): receive 3 1, time: 0:0:1.789703335
DEBUG (12): receive 3 1, time: 0:0:1.789703335
DEBUG (3): receive 3 1, time: 0:0:1.789703335
DEBUG (10): receive 3 1, time: 0:0:1.789703335
DEBUG (17): receive 3 1, time: 0:0:1.789703335
DEBUG (11): receive 3 1, time: 0:0:1.789703335
DEBUG (13): receive 3 1, time: 0:0:1.789703335
DEBUG (1): receive 3 1, time: 0:0:1.789703335
DEBUG (8): receive 3 1, time: 0:0:1.789703335
DEBUG (16): receive 3 1, time: 0:0:1.789703335
DEBUG (14): receive 3 1, time: 0:0:1.789703335
